tasks,scenario_seed,algorithm_seed,method,comparison,metric,difference,energy_tolerance_j
50,47,100,full,stage2_minus_stage1,mean_delay_s,1.043901771067624,2.1096398123977993
50,47,100,full,stage2_minus_stage1,p95_delay_s,-5.4085091960587306e-08,2.1096398123977993
50,47,100,full,stage2_minus_stage1,min_deadline_slack_s,-3.4474891208446934e-07,2.1096398123977993
50,47,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.18141998121223957,2.2416392622251293
50,47,101,fixed_task_route,stage2_minus_stage1,energy_j,2.2416391970182303,2.2416392622251293
50,47,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.4542881617254011,2.2416392622251293
50,47,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,1.3885471616958966e-07,2.2416392622251293
50,47,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-5.588312887994107e-07,2.2416392622251293
50,47,101,full,stage2_minus_stage1,normalized_cpu,-0.22101241078581624,2.1096398123977993
50,47,101,full,stage2_minus_stage1,energy_j,2.1096396315842867,2.1096398123977993
50,47,101,full,stage2_minus_stage1,mean_delay_s,1.043901771067624,2.1096398123977993
50,47,101,full,stage2_minus_stage1,p95_delay_s,-5.4085091960587306e-08,2.1096398123977993
50,47,101,full,stage2_minus_stage1,min_deadline_slack_s,-3.4474891208446934e-07,2.1096398123977993
50,47,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.18141998121223957,2.2416392622251293
50,47,102,fixed_task_route,stage2_minus_stage1,energy_j,2.2416391970182303,2.2416392622251293
50,47,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.4542881617254011,2.2416392622251293
50,47,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,1.3885471616958966e-07,2.2416392622251293
50,47,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-5.588312887994107e-07,2.2416392622251293
50,47,102,full,stage2_minus_stage1,normalized_cpu,-1.202446540770681,1.7254306436903508
50,47,102,full,stage2_minus_stage1,energy_j,0.08366456930525601,1.7254306436903508
50,47,102,full,stage2_minus_stage1,mean_delay_s,2.893490775482036,1.7254306436903508
50,47,102,full,stage2_minus_stage1,p95_delay_s,-0.02422183979632564,1.7254306436903508
50,47,102,full,stage2_minus_stage1,min_deadline_slack_s,-5.820403146117314e-07,1.7254306436903508
