tasks,scenario_seed,algorithm_seed,method,stage,timeline,available,solver_status,qualified,audit_passed,max_normalized_violation,worst_constraint,energy_j,normalized_mec_cpu,total_distance_m,contacts,offloaded_tasks,offload_ratio,mean_delay_s,p95_delay_s,min_deadline_slack_s,mean_carrying_wait_s,flight_j,collection_j,upload_hover_j,transmit_j,local_compute_j,carrying_wait_status
50,45,102,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,233508.6297370252,0.05216179498455823,12379.36650709252,1,1,0.02,212.2948580891452,364.4837430275215,4.149662231611728e-07,54.41414843392391,222828.59712766536,10000.0,76.69751923641985,0.03834875961820993,603.2967413638133,available
50,45,102,full,1,saved,True,optimal,True,True,1.0649707479518352e-05,upload_epi::G_U2_1,170344.6913352158,1.7296515185699846,8839.02380043887,3,5,0.1,232.5111805687641,376.503385514867,8.499284831486875e-09,42.35579448088241,159102.4284078997,10000.0,739.1784547251152,0.3695892273625576,502.71488336364234,available
50,45,102,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,170344.6913350621,1.7296515185699846,8839.02380043887,3,5,0.1,230.4749378893461,376.5033836045625,2.843626702997426e-07,42.355794480882416,159102.4284078997,10000.0,739.1784545714847,0.36958922728574234,502.71488336364234,available
50,45,102,full,2,saved,True,optimal,True,True,1.0440689121341247e-05,mec_task_complete::G_U1_1::1::S9,170346.1102330258,1.0477708814634321,8839.02380043887,3,5,0.1,232.61170506722948,375.8729395919009,3.8824055081931874e-11,42.35579448088241,159102.4284078997,10000.0,739.2220172320858,0.36961100861604296,504.09019688540604,available
50,45,102,full,2,reconstructed,True,optimal,True,True,2.8731284409377086e-06,deadline::S9,170346.0666562523,1.0477708814634321,8839.02380043887,3,5,0.1,230.8951725458244,371.01828571144506,-1.0071516953757964e-09,42.35579448088241,159102.4284078997,10000.0,739.1784622361047,0.3695892311180523,504.09019688540604,available
50,46,100,fixed_contacts,1,saved,True,optimal,True,True,8.093231135769036e-07,upload_epi::G_U2_1,214095.34887960058,1.6112162938637011,11293.351548977205,2,2,0.04,207.66086441882607,329.03824857341976,7.677670055272756e-09,9.057539064743551,203280.3278815897,10000.0,288.0885882773116,0.14404429413865583,526.7883654394075,available
50,46,100,fixed_contacts,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,214095.34887957096,1.6112162938637011,11293.351548977205,2,2,0.04,206.5776277622597,329.03824835058026,1.9902955727957305e-07,9.057539064743551,203280.3278815897,10000.0,288.0885882476998,0.14404429412384995,526.7883654394075,available
50,46,100,fixed_contacts,2,saved,True,optimal,False,False,115.49749442906432,mec_task_complete::G_U1_1::1::S12,214097.44316822075,0.6191700700243965,11293.351548977205,2,2,0.04,208.05447683058824,329.03827112758023,-0.00035356320009327646,9.057539064743551,203280.3278815897,10000.0,290.1580888276059,0.14507904441380298,526.8121187590359,available
50,46,100,fixed_contacts,2,reconstructed,True,optimal,False,False,246.43877297383042,deadline::S12,214095.37678464144,0.6191700700243965,11293.351548977205,2,2,0.04,208.05279301047827,329.03215580288725,-0.08568224007606773,9.057539064743551,203280.3278815897,10000.0,288.09273792371727,0.14404636896185866,526.8121187590359,available
50,46,100,fixed_task_route,1,saved,True,optimal,True,True,1.5412116027846423e-07,upload_epi::G_U2_1,227768.5579358904,1.7116044614452022,12053.210776091182,2,2,0.04,205.17443410048855,356.7136542651994,4.2865622162935324e-10,9.057539064743551,216957.7939696413,10000.0,288.0885882020832,0.14404429410104158,522.5313337528987,available
50,46,100,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227768.5579359148,1.7116044614452022,12053.210776091182,2,2,0.04,204.23763266189036,356.71365417056927,6.285631570790429e-09,9.057539064743551,216957.7939696413,10000.0,288.08858822649427,0.14404429411324715,522.5313337528987,available
50,46,100,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227770.45853211067,1.0241429703835352,12053.210776091182,2,2,0.04,205.49958003470994,356.0093705467438,2.631850293255411e-11,9.057539064743551,216957.7939696413,10000.0,288.0886045154383,0.1440443022577192,524.4319136516725,available
50,46,100,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227770.45851959987,1.0241429703835352,12053.210776091182,2,2,0.04,205.17132938721852,353.7403880454309,3.2335947253159247e-09,9.057539064743551,216957.7939696413,10000.0,288.0885920108811,0.14404429600544055,524.4319136516725,available
50,46,100,full,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,176926.42869469663,0.9338415496852018,9212.784890093539,2,2,0.04,191.79636157832576,308.4558601423219,2.293802481290186e-09,41.394521254312906,165830.1280216837,10000.0,480.9813872618961,0.24049069363094805,615.0787950574111,available
50,46,100,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,176926.42869456668,0.9338415496852018,9212.784890093539,2,2,0.04,191.07701426011903,308.45586007038196,5.76133061258588e-08,41.394521254312906,165830.1280216837,10000.0,480.98138713201433,0.24049069356600716,615.0787950574111,available
50,46,100,full,2,saved,True,optimal_inaccurate,False,True,0.1821943417532814,mec_task_complete::G_U2_1::1::S46,176928.1973585777,0.5505941459520741,9212.784890093539,2,2,0.04,192.06318392973836,309.6497152322728,-4.1190787669620477e-08,41.394521254312906,165830.1280216837,10000.0,482.74881914925015,0.24137440957462508,615.0791433351777,available
50,46,100,full,2,reconstructed,True,optimal_inaccurate,False,True,0.0,nonnegative::tau_s::G_U2_1,176926.63667738938,0.5505941459520741,9212.784890093539,2,2,0.04,192.06294182906603,309.6485928514812,3.981660847784951e-05,41.394521254312906,165830.1280216837,10000.0,481.188917911561,0.24059445895578055,615.0791433351777,available
50,46,101,fixed_contacts,1,saved,True,optimal,True,True,2.3379924259229895e-07,upload_epi::G_U2_1,211064.05940642487,1.4362725061094124,11121.410294832544,2,2,0.04,196.74402507753072,329.0382462178812,8.271854312624782e-10,9.566805981280154,200185.38530698576,10000.0,288.08858824143044,0.14404429412071523,590.4414669035496,available
50,46,101,fixed_contacts,1,reconstructed,True,optimal,True,True,2.0185873175002844e-13,upload_epi::G_U2_1,211064.05940641166,1.4362725061094124,11121.410294832544,2,2,0.04,195.25960215732337,329.0382461880277,2.007422494898492e-08,9.566805981280154,200185.38530698576,10000.0,288.08858822823566,0.14404429411411784,590.4414669035496,available
50,46,101,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,211065.8114850021,0.13807777532305282,11121.410294832544,2,2,0.04,197.31132393581507,329.0227389879032,2.6349198378738947e-09,9.566805981280154,200185.38530698576,10000.0,288.0888406081456,0.14404442030407283,592.1932929878873,available
50,46,101,fixed_contacts,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,211065.811248294,0.13807777532305282,11121.410294832544,2,2,0.04,197.01630979821496,328.7322687838189,2.8968798915229854e-07,9.566805981280154,200185.38530698576,10000.0,288.0886040183195,0.14404430200915974,592.1932929878873,available
50,46,101,fixed_task_route,1,saved,True,optimal,True,True,1.5412116027846423e-07,upload_epi::G_U2_1,227768.5579358904,1.7116044614452022,12053.210776091182,2,2,0.04,205.17443410048855,356.7136542651994,4.2865622162935324e-10,9.057539064743551,216957.7939696413,10000.0,288.0885882020832,0.14404429410104158,522.5313337528987,available
50,46,101,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227768.5579359148,1.7116044614452022,12053.210776091182,2,2,0.04,204.23763266189036,356.71365417056927,6.285631570790429e-09,9.057539064743551,216957.7939696413,10000.0,288.08858822649427,0.14404429411324715,522.5313337528987,available
50,46,101,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227770.45853211067,1.0241429703835352,12053.210776091182,2,2,0.04,205.49958003470994,356.0093705467438,2.631850293255411e-11,9.057539064743551,216957.7939696413,10000.0,288.0886045154383,0.1440443022577192,524.4319136516725,available
50,46,101,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,227770.45851959987,1.0241429703835352,12053.210776091182,2,2,0.04,205.17132938721852,353.7403880454309,3.2335947253159247e-09,9.057539064743551,216957.7939696413,10000.0,288.0885920108811,0.14404429600544055,524.4319136516725,available
50,46,101,full,1,saved,True,optimal,True,True,1.4000776295895114e-06,upload_epi::G_U4_1,181000.8402650002,0.8295999832524729,9453.31559186614,1,2,0.04,192.9373784456655,308.45586013564434,8.291522135550622e-09,59.236791357189645,170159.6806535905,10000.0,262.23190940920426,0.13111595470460213,578.7965860457928,available
50,46,101,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U4_1,181000.8402651543,0.8295999832524729,9453.31559186614,1,2,0.04,192.24449373774604,308.4558599154129,2.1133536165507394e-07,59.236791357189645,170159.6806535905,10000.0,262.2319095632128,0.1311159547816064,578.7965860457928,available
50,46,101,full,2,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U4_1,181002.3360113627,0.3148816893744165,9453.31559186614,1,2,0.04,193.2465885916072,308.4481801670215,2.468709681124892e-10,59.236791357189645,170159.6806535905,10000.0,262.2319244497812,0.1311159622248906,580.2923173601803,available
50,46,101,full,2,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U4_1,181002.33599659172,0.3148816893744165,9453.31559186614,1,2,0.04,191.9682577498338,308.2483469874711,7.472920060536126e-08,59.236791357189645,170159.6806535905,10000.0,262.2319096861958,0.1311159548430979,580.2923173601803,available
50,46,102,fixed_contacts,1,saved,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,205565.30847021192,1.4838291416358276,10826.626286853014,2,2,0.04,200.16614043881358,353.6743460324117,7.610708507854724e-09,20.465765015795554,194879.27316335426,10000.0,230.0713905831019,0.11503569529155096,455.84888057925275,available
50,46,102,fixed_contacts,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U1_1,205565.30847018684,1.4838291416358276,10826.626286853014,2,2,0.04,199.35571527683499,353.67434574890643,1.1771942354243947e-07,20.465765015795554,194879.27316335426,10000.0,230.07139055803788,0.11503569527901894,455.84888057925275,available
