tasks,scenario_seed,algorithm_seed,method,code_commit,solution_sha256,stage1_qualified,stage2_qualified,nominal_budget_s,search_runtime_s,overrun_s,resource_recompute_runtime_s,audit_runtime_s,oracle_calls,oracle_cache_hits,freeze_rejections,unique_admissible_structures,direct_structure_calls
50,48,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,91c0980fc77e088a49498ec21b0109a79f61f0c03b042cbbe1d4ca07f8d45aa9,True,True,15.0,13.371949747999963,0.0,0.6621204880000278,0.004879368999979761,4,2,145,4,37
50,48,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,6d97a6b0f3805738fffb52c9168386d028466572e0b1bb51496ff07b84bfc172,True,True,15.0,15.080074824999997,0.08007482499999696,0.6598673750000046,0.00457867100001863,8,4,0,93,26
50,48,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,0b61c77c01bc075eddbd617673035c742c436a855d4fb140b886696bd62fa6b2,True,True,15.0,12.53791862899999,0.0,0.6020474609999837,0.004968394000002263,2,2,166,66,37
50,48,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,91c0980fc77e088a49498ec21b0109a79f61f0c03b042cbbe1d4ca07f8d45aa9,True,True,15.0,13.43592106799997,0.0,0.6759526120000032,0.004955669000025864,4,2,141,4,38
50,48,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,e0648accd31b7d6a9f01979b108a36ebd39111dbcd57c65aac22afe22b63605c,True,True,15.0,14.340726688000018,0.0,0.5996374279999941,0.005117718999997578,6,3,0,68,12
50,49,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,48546621aa3175e17e652cec87e77bbd1b8dbe09f348793ad5de610f80b47871,True,True,15.0,12.802568035000007,0.0,0.66309213400001,0.0039478189999897495,2,2,176,55,42
50,49,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,eaf761954b464bbbd5cf027768b4bd6fabfcb617fc6ca913313f51442c27167a,True,True,15.0,15.335688429999976,0.3356884299999763,0.6697544470000025,0.004159834999995837,3,2,840,2,159
50,49,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,9f58667c26ba9898d45052b85ff5ab78b619ec1e368186650f5f34378ca8090f,True,True,15.0,14.915916022000005,0.0,0.61461744799999,0.00496782999999823,6,3,0,85,15
50,49,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,75ce7985500f9ef913af6efad84328dc12e3bb6391059d6013d3f4793eaebdbc,True,True,15.0,12.593158717999984,0.0,0.6776323949999892,0.004127129000039531,1,2,219,45,40
50,49,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,eaf761954b464bbbd5cf027768b4bd6fabfcb617fc6ca913313f51442c27167a,True,True,15.0,13.792180016999964,0.0,0.6105094189999818,0.003957366000008733,4,2,836,2,158
50,49,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,3bf4e90d81af6417371dae4fa1704f49c7d22a83704b0b46ab6db18c9d426554,True,True,15.0,15.14939769,0.1493976900000007,0.6308113810000009,0.005065799999954379,7,2,0,118,20
50,49,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,194add0c4d8ef6a7545cc28f00371eaf1dd31fee3e7a8ae4b299b67bda02b21c,True,True,15.0,13.192992003000029,0.0,0.6849931759999777,0.004049566000048799,3,2,328,34,59
50,49,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,eaf761954b464bbbd5cf027768b4bd6fabfcb617fc6ca913313f51442c27167a,True,True,15.0,13.731308694000006,0.0,0.6517834029999676,0.003968666000048415,4,2,858,2,163
50,49,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,27b6bf004ab77c5e735597ac1726566389d80807a03dc2b27b14b4a35aba6771,True,True,15.0,14.21017722099998,0.0,0.6074527840000314,0.004964960000052088,6,3,0,68,11
50,50,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,b756fd7740c2b67e6c1c51aaf833c9d52ef50310fffb82e827dbdd4a4becf820,True,True,15.0,13.555044479000003,0.0,3.927203915000007,0.004861621999992849,4,2,152,81,43
50,50,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,96daaf997fa9f93716866af4905052c1440edab6247049fd1652bda650ed3fda,True,True,15.0,13.628819715999995,0.0,0.605717934999987,0.004755500000001689,4,2,274,4,79
50,50,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,0863acb21034cfe057ec6e800b0627a454e055a5d01942862d2f186a3cf4d1a4,True,True,15.0,15.088984321999988,0.08898432199998751,0.6574533630000019,0.003985760999995591,8,2,0,110,21
50,50,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,f897cfde95b0abaab12d91360211d608102702528f426fa392967ce3b27bc68f,True,True,15.0,13.602025499000007,0.0,4.15824314599999,0.004612563000023329,4,2,166,71,45
50,50,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,96daaf997fa9f93716866af4905052c1440edab6247049fd1652bda650ed3fda,True,True,15.0,13.624584864000013,0.0,0.5943780049999816,0.004693960999986757,4,2,268,4,76
50,50,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,53affd7511522d1de0cbb56aaa94cbc4825151910f4dcc06272c26a2a5358071,True,True,15.0,15.407489131999995,0.4074891319999949,0.6879052890000139,0.0046067639999876064,8,4,0,90,20
50,50,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,0327c20defae3512f94d941695138f37c7a2854567c5a7d56efd0741757ee60c,True,True,15.0,13.283572582000005,0.0,2.2233798179999837,0.004775899999998501,3,2,154,58,39
50,50,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,96daaf997fa9f93716866af4905052c1440edab6247049fd1652bda650ed3fda,True,True,15.0,13.640219240999983,0.0,0.6059089350000022,0.005063165999985131,4,2,282,4,82
